DataAcc	bamAcc	bamFinal	bname	fname	runID	sampleID	RPKMFile	hasRPKMFile	bamHeader	npkFile	alias	header	genome	RPKMFileSize	BamFileSize	blacklisted
122CS14	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/122C/FTLD_S14/FTLD_S14_raw_bowtie2_BD31	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/122C/FTLD_S14/FTLD_S14_raw_bowtie2_BD31_sorted_rmdup_picard.bam	FTLD_S14_raw_bowtie2_BD31	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/122C/FTLD_S14/FTLD_S14_raw_bowtie2_BD31_sorted_rmdup_picard_RPKM.bw	122C	S14	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/122C/FTLD_S14/FTLD_S14_raw_bowtie2_BD31_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:Bd1	LN:75071545
@SQ	SN:Bd2	LN:59130575
@SQ	SN:Bd3	LN:59640145
@SQ	SN:Bd4	LN:48594894
@SQ	SN:Bd5	LN:28630136
@SQ	SN:scaffold_12	LN:23566
@SQ	SN:scaffold_14	LN:20560
@SQ	SN:scaffold_135	LN:3881
@SQ	SN:scaffold_180	LN:1933
@SQ	SN:Bd1_centromere_containing_Bradi1g41430	LN:46184
"		FTLD	122C_S14_FTLD	Bd21-v3-1	36687024	306422007	False
124CS22	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/3239-ZT8-SD_S22/3239-ZT8-SD_S22_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/3239-ZT8-SD_S22/3239-ZT8-SD_S22_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	3239-ZT8-SD_S22_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/3239-ZT8-SD_S22/3239-ZT8-SD_S22_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S22	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/3239-ZT8-SD_S22/3239-ZT8-SD_S22_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		3239-ZT8-SD	124C_S22_3239-ZT8-SD	Ath-TAIR10	46817576	959387862	False
124CS11	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-22_S11/EC-1162-TP1-22_S11_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-22_S11/EC-1162-TP1-22_S11_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-1162-TP1-22_S11_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-22_S11/EC-1162-TP1-22_S11_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S11	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-22_S11/EC-1162-TP1-22_S11_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-1162-TP1-22	124C_S11_EC-1162-TP1-22	Ath-TAIR10	43345165	659417586	False
124CS12	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-27_S12/EC-1162-TP1-27_S12_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-27_S12/EC-1162-TP1-27_S12_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-1162-TP1-27_S12_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-27_S12/EC-1162-TP1-27_S12_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S12	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1162-TP1-27_S12/EC-1162-TP1-27_S12_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-1162-TP1-27	124C_S12_EC-1162-TP1-27	Ath-TAIR10	43634061	676046369	False
124CS13	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-22_S13/EC-1164-TP1-22_S13_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-22_S13/EC-1164-TP1-22_S13_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-1164-TP1-22_S13_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-22_S13/EC-1164-TP1-22_S13_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S13	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-22_S13/EC-1164-TP1-22_S13_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-1164-TP1-22	124C_S13_EC-1164-TP1-22	Ath-TAIR10	41693403	654334998	False
124CS14	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-27_S14/EC-1164-TP1-27_S14_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-27_S14/EC-1164-TP1-27_S14_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-1164-TP1-27_S14_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-27_S14/EC-1164-TP1-27_S14_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S14	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1164-TP1-27_S14/EC-1164-TP1-27_S14_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-1164-TP1-27	124C_S14_EC-1164-TP1-27	Ath-TAIR10	37121680	515308658	False
124CS15	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-22_S15/EC-1165-TP1-22_S15_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-22_S15/EC-1165-TP1-22_S15_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-1165-TP1-22_S15_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-22_S15/EC-1165-TP1-22_S15_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S15	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-22_S15/EC-1165-TP1-22_S15_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-1165-TP1-22	124C_S15_EC-1165-TP1-22	Ath-TAIR10	45412732	771423070	False
124CS16	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-27_S16/EC-1165-TP1-27_S16_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-27_S16/EC-1165-TP1-27_S16_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-1165-TP1-27_S16_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-27_S16/EC-1165-TP1-27_S16_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S16	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-1165-TP1-27_S16/EC-1165-TP1-27_S16_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-1165-TP1-27	124C_S16_EC-1165-TP1-27	Ath-TAIR10	31006210	377076241	False
124CS1	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-22_S1/EC-834-TP1-22_S1_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-22_S1/EC-834-TP1-22_S1_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-834-TP1-22_S1_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-22_S1/EC-834-TP1-22_S1_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S1	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-22_S1/EC-834-TP1-22_S1_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-834-TP1-22	124C_S1_EC-834-TP1-22	Ath-TAIR10	43269112	658424603	False
124CS2	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-27_S2/EC-834-TP1-27_S2_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-27_S2/EC-834-TP1-27_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-834-TP1-27_S2_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-27_S2/EC-834-TP1-27_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S2	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP1-27_S2/EC-834-TP1-27_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-834-TP1-27	124C_S2_EC-834-TP1-27	Ath-TAIR10	43456113	689631671	False
124CS3	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-22_S3/EC-834-TP2-22_S3_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-22_S3/EC-834-TP2-22_S3_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-834-TP2-22_S3_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-22_S3/EC-834-TP2-22_S3_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S3	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-22_S3/EC-834-TP2-22_S3_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-834-TP2-22	124C_S3_EC-834-TP2-22	Ath-TAIR10	43861999	764082676	False
124CS4	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-27_S4/EC-834-TP2-27_S4_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-27_S4/EC-834-TP2-27_S4_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-834-TP2-27_S4_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-27_S4/EC-834-TP2-27_S4_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S4	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-834-TP2-27_S4/EC-834-TP2-27_S4_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-834-TP2-27	124C_S4_EC-834-TP2-27	Ath-TAIR10	38711413	531013759	False
124CS5	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-22_S5/EC-838-TP1-22_S5_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-22_S5/EC-838-TP1-22_S5_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-838-TP1-22_S5_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-22_S5/EC-838-TP1-22_S5_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S5	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-22_S5/EC-838-TP1-22_S5_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-838-TP1-22	124C_S5_EC-838-TP1-22	Ath-TAIR10	47230420	848131021	False
124CS6	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-27_S6/EC-838-TP1-27_S6_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-27_S6/EC-838-TP1-27_S6_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-838-TP1-27_S6_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-27_S6/EC-838-TP1-27_S6_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S6	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP1-27_S6/EC-838-TP1-27_S6_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-838-TP1-27	124C_S6_EC-838-TP1-27	Ath-TAIR10	43083855	655227700	False
124CS7	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-22_S7/EC-838-TP2-22_S7_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-22_S7/EC-838-TP2-22_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-838-TP2-22_S7_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-22_S7/EC-838-TP2-22_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S7	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-22_S7/EC-838-TP2-22_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-838-TP2-22	124C_S7_EC-838-TP2-22	Ath-TAIR10	31302527	323023176	False
124CS8	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-27_S8/EC-838-TP2-27_S8_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-27_S8/EC-838-TP2-27_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-838-TP2-27_S8_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-27_S8/EC-838-TP2-27_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S8	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-838-TP2-27_S8/EC-838-TP2-27_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-838-TP2-27	124C_S8_EC-838-TP2-27	Ath-TAIR10	38952947	514711427	False
124CS9	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-22_S9/EC-YHB-TP1-22_S9_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-22_S9/EC-YHB-TP1-22_S9_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-YHB-TP1-22_S9_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-22_S9/EC-YHB-TP1-22_S9_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S9	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-22_S9/EC-YHB-TP1-22_S9_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-YHB-TP1-22	124C_S9_EC-YHB-TP1-22	Ath-TAIR10	39422135	576098939	False
124CS10	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-27_S10/EC-YHB-TP1-27_S10_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-27_S10/EC-YHB-TP1-27_S10_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	EC-YHB-TP1-27_S10_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-27_S10/EC-YHB-TP1-27_S10_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	124C	S10	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/EC-YHB-TP1-27_S10/EC-YHB-TP1-27_S10_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		EC-YHB-TP1-27	124C_S10_EC-YHB-TP1-27	Ath-TAIR10	38737493	548424922	False
124CS23	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S23/INPUT_S23_raw_bowtie2_BD31	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S23/INPUT_S23_raw_bowtie2_BD31_sorted_rmdup_picard.bam	INPUT_S23_raw_bowtie2_BD31	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S23/INPUT_S23_raw_bowtie2_BD31_sorted_rmdup_picard_RPKM.bw	124C	S23	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S23/INPUT_S23_raw_bowtie2_BD31_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:Bd1	LN:75071545
@SQ	SN:Bd2	LN:59130575
@SQ	SN:Bd3	LN:59640145
@SQ	SN:Bd4	LN:48594894
@SQ	SN:Bd5	LN:28630136
@SQ	SN:scaffold_12	LN:23566
@SQ	SN:scaffold_14	LN:20560
@SQ	SN:scaffold_135	LN:3881
@SQ	SN:scaffold_180	LN:1933
@SQ	SN:Bd1_centromere_containing_Bradi1g41430	LN:46184
"		INPUT	124C_S23_INPUT	Bd21-v3-1	63172779	663124741	False
124CS24	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S24/INPUT_S24_raw_bowtie2_BD31	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S24/INPUT_S24_raw_bowtie2_BD31_sorted_rmdup_picard.bam	INPUT_S24_raw_bowtie2_BD31	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S24/INPUT_S24_raw_bowtie2_BD31_sorted_rmdup_picard_RPKM.bw	124C	S24	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/124C/INPUT_S24/INPUT_S24_raw_bowtie2_BD31_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:Bd1	LN:75071545
@SQ	SN:Bd2	LN:59130575
@SQ	SN:Bd3	LN:59640145
@SQ	SN:Bd4	LN:48594894
@SQ	SN:Bd5	LN:28630136
@SQ	SN:scaffold_12	LN:23566
@SQ	SN:scaffold_14	LN:20560
@SQ	SN:scaffold_135	LN:3881
@SQ	SN:scaffold_180	LN:1933
@SQ	SN:Bd1_centromere_containing_Bradi1g41430	LN:46184
"		INPUT	124C_S24_INPUT	Bd21-v3-1	76166257	922833366	False
